,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL506736,26.4694396733,33.3700793003,2,2,4,0
CHEMBL508112,-33.8355985967,-28.7722706841,3,4,3,4
CHEMBL51,13.1853098326,-0.742634502107,1,2,3,4
CHEMBL511489,0.14754300007,23.5690522129,4,0,1,1
CHEMBL511609,-1.79367717127,-24.2305009501,1,4,4,4
CHEMBL512332,-3.46078343998,-27.1835390064,1,4,4,4
CHEMBL513051,0.641625198249,22.5971862034,4,0,1,1
CHEMBL515307,-30.2772500813,7.91427676345,0,3,2,3
CHEMBL515472,-6.46875041457,5.78070790488,1,2,3,4
CHEMBL515624,-5.53280214499,36.5905300719,4,0,1,1
CHEMBL516,25.571320904,10.4459020461,3,3,2,2
CHEMBL516088,-4.7731413456,4.741580433,1,2,3,4
CHEMBL516409,28.912086709,35.7557771357,2,2,4,0
CHEMBL517503,-3.45291467528,37.2093041171,4,0,1,1
CHEMBL517707,33.7536771663,-20.5935473362,2,1,0,3
CHEMBL517828,-2.8770405575,36.2076145723,4,0,1,1
CHEMBL518017,32.5447225404,-23.4029869004,2,1,0,3
CHEMBL518153,-3.32286996167,21.4764057388,4,0,1,1
CHEMBL518591,-5.19181798544,37.2056072156,4,0,1,1
CHEMBL518639,33.6956216039,-20.9835532905,2,1,0,3
CHEMBL518670,31.8569133385,-24.080407369,2,1,0,3
CHEMBL518762,-2.83483439172,21.0554080459,4,0,1,1
CHEMBL518781,33.9168050447,-22.872136856,2,1,0,3
CHEMBL519299,-3.56500904453,22.6406963034,4,0,1,1
CHEMBL519359,26.1770751443,30.0398145472,2,2,4,0
CHEMBL519513,23.1771412057,32.3493010429,2,2,4,0
CHEMBL519536,26.9408681311,31.0688460414,4,2,4,0
CHEMBL519670,31.0610113943,32.6998078081,2,2,4,0
CHEMBL520129,-38.487546847,4.60462693531,0,3,1,3
CHEMBL520267,-0.48909978579,24.6189073466,4,0,1,1
CHEMBL520343,-39.5035010603,4.66191468014,0,3,1,2
CHEMBL520638,23.0555466901,33.971722207,2,2,4,0
CHEMBL520777,0.551166482889,23.2560937303,4,0,1,1
CHEMBL520795,-39.7551658307,4.65513482532,0,3,1,2
CHEMBL521419,-2.5719014976,25.05967196,4,0,1,1
CHEMBL521426,0.871848289331,25.4411318386,4,0,1,1
CHEMBL522708,-13.3595631496,-27.3630804604,1,2,3,4
CHEMBL526307,-36.4677565449,21.2810646351,0,4,2,0
CHEMBL527098,23.0811310919,33.7492321489,2,2,4,0
CHEMBL531,28.9359405917,-38.0475818003,3,4,4,4
CHEMBL534,27.4384914484,11.5862312757,3,3,2,4
CHEMBL54,16.2685524574,-1.30916580169,1,2,2,3
CHEMBL541993,14.0737780506,37.7694159107,4,3,3,0
CHEMBL553794,-0.553098573533,-3.0818555525,2,4,3,4
CHEMBL555146,9.46021236213,-5.09333154365,1,4,3,3
CHEMBL56,4.7738906854,11.0250221039,3,2,3,0
CHEMBL564,30.5056409684,6.61622692921,3,4,2,2
CHEMBL565350,-16.7701124647,-33.8737944608,0,2,4,4
CHEMBL565552,-25.604237946,-10.1635921945,0,1,0,2
CHEMBL565723,-23.9711032929,-9.2341781386,0,1,0,0
CHEMBL565724,-19.3916681815,-1.19609801618,0,1,2,2
CHEMBL565730,-27.4995646106,-11.8881204272,0,1,0,0
CHEMBL565731,-24.8184840473,-12.5239666193,0,1,0,0
CHEMBL565745,-24.8086531968,-9.24657784722,0,1,0,0
CHEMBL565746,-19.6434588759,-1.04784519137,0,1,2,2
CHEMBL565753,-22.7436791602,-6.67885328791,0,1,2,2
CHEMBL565976,-22.6712422765,-12.6368202857,0,1,0,0
CHEMBL565977,-24.8814479617,-7.75733046165,0,1,0,0
CHEMBL566192,-14.713646946,-32.9479655574,0,1,4,4
CHEMBL566213,-20.277482997,-32.0863187104,0,4,4,1
CHEMBL566218,-16.2566713451,-31.8428998626,0,2,4,4
CHEMBL566219,-15.9355476872,-32.381899648,0,1,4,4
CHEMBL566402,-20.3093906667,-32.1073615688,0,4,4,1
CHEMBL566409,-20.6130207751,-30.5553348577,0,4,4,1
CHEMBL566410,-16.7867348882,-31.7210306883,0,2,4,4
CHEMBL566639,-15.0093186127,-33.2180328252,0,1,4,4
CHEMBL567071,-16.5166927648,-33.8161154934,0,1,4,4
CHEMBL567073,-20.1149028736,-31.6602149998,0,4,4,1
CHEMBL567805,-22.4550772657,-11.7763280791,0,1,0,2
CHEMBL568249,-25.6791206032,-8.75726065943,0,1,0,0
CHEMBL568329,-19.2830219335,-32.2636415679,0,4,4,1
CHEMBL568330,-16.4030210036,-33.3767015125,0,2,4,4
CHEMBL568672,-24.2823535293,-12.7826969156,0,1,0,0
CHEMBL568673,-26.1823987946,-8.05145798672,0,1,0,0
CHEMBL568935,-28.6061227441,-17.5299478185,0,1,3,2
CHEMBL569270,6.95093369198,-9.05964741875,1,4,2,4
CHEMBL570971,-29.114746775,-15.4139667808,0,1,3,0
CHEMBL571215,-28.1157851749,-14.5046394183,0,1,3,0
CHEMBL571413,-28.4017989664,-14.583055444,0,1,3,0
CHEMBL571635,-28.8932950236,-17.7729156961,0,1,3,0
CHEMBL571762,-16.4036969446,-31.3663685324,0,1,4,4
CHEMBL571764,-17.2858136439,-33.4326454349,0,2,4,4
CHEMBL571858,-22.6200043191,-11.3059526844,0,1,0,0
CHEMBL571878,-28.0335859446,-17.453621071,0,1,3,0
CHEMBL572087,-20.3126369857,-0.80531184456,0,1,2,2
CHEMBL572092,-28.1945498231,-17.0481008953,0,1,3,0
CHEMBL573982,22.2483035906,-35.0307643816,1,4,4,4
CHEMBL574403,-29.3444589381,8.38347579198,0,3,2,3
CHEMBL574404,-9.93443318649,31.330733131,0,0,2,2
CHEMBL575304,-8.59011167055,31.3064761699,4,0,1,0
CHEMBL575310,-29.0523509175,6.07230875671,0,3,2,3
CHEMBL576312,-26.6463124075,-16.7417340453,0,1,3,0
CHEMBL576315,-24.6882241615,-12.0112073367,0,1,0,0
CHEMBL576967,-29.4691217087,9.03272355654,0,4,2,4
CHEMBL577687,-27.0381429807,-11.4555826113,0,1,0,0
CHEMBL577994,-20.0803940584,-30.9560881167,0,2,4,1
CHEMBL578023,23.9402656508,-36.4217527834,1,4,4,4
CHEMBL578411,-16.3364730076,-32.3835273896,0,1,4,4
CHEMBL578826,-25.7926664608,-9.54113842945,0,1,0,0
CHEMBL579063,-25.9861180815,-12.0755444429,0,1,0,0
CHEMBL579981,38.3460502947,25.3277309784,4,4,3,2
CHEMBL583389,-23.8095357101,-6.26882216118,0,1,2,2
CHEMBL583677,-26.837527584,-14.5570944943,0,1,3,0
CHEMBL583896,-27.2450485767,-16.7175383643,0,1,3,0
CHEMBL584046,-24.9344983103,-11.9599879082,0,1,0,0
CHEMBL584049,-23.8297154111,-12.3965657218,0,1,0,0
CHEMBL584272,-20.6948941338,-31.2984706266,0,4,4,1
CHEMBL584474,-23.8045812958,-7.91784734959,0,1,0,2
CHEMBL584690,-20.3781694167,-31.7148061618,0,4,4,1
CHEMBL585098,-23.8722565488,-9.4751185885,0,1,0,0
CHEMBL585313,-19.6159788955,-32.3172377351,0,4,4,1
CHEMBL585930,-24.5564189349,-10.7781490614,0,1,0,2
CHEMBL585931,-23.835676315,-11.7956904109,0,1,0,0
CHEMBL589390,21.5377658526,41.9050310761,0,4,3,4
