,x,y,year
CHEMBL235070,-26.2307423341,-21.4881979529,2006
CHEMBL235117,-29.2313400516,-22.364778414,2006
CHEMBL235118,-31.0789294779,-27.9434810626,2006
CHEMBL235306,-25.4224520526,-20.2465079292,2006
CHEMBL235734,-27.0245572717,-20.5983133193,2006
CHEMBL23575,-8.38103347117,33.8870636065,2003
CHEMBL235985,-34.9655792047,10.2117902231,2007
CHEMBL235986,-35.7209956666,9.25237945522,2007
CHEMBL235987,-34.6843216211,9.7163912871,2007
CHEMBL236103,-33.3946654997,-25.1379524487,2006
CHEMBL236104,-33.3448308691,-25.0679555568,2006
CHEMBL236313,-33.4522440833,-24.216033152,2006
CHEMBL236314,-33.1546910828,-24.2610081735,2006
CHEMBL236334,-30.9961228289,-19.9095951413,2006
CHEMBL236335,-29.0066652467,-19.8744263981,2006
CHEMBL236336,-29.3115134536,-18.4380225796,2006
CHEMBL236404,-25.8222378857,-19.9774455419,2006
CHEMBL236405,-25.970364098,-21.2666442371,2006
CHEMBL236540,-28.3622949336,-21.0646120843,2006
CHEMBL236541,-30.4624226241,-21.3283987809,2006
CHEMBL236571,-28.1015047268,-17.4425491293,2006
CHEMBL236576,-24.5621567005,-20.4953108993,2006
CHEMBL236577,-28.3930937784,-24.6151008996,2006
CHEMBL236578,-29.8141042226,-18.1968568744,2006
CHEMBL236579,-29.8900869663,-17.6648631263,2006
CHEMBL236772,-26.448926847,-22.6057662114,2006
CHEMBL236812,-32.7196549336,-23.8570804826,2006
CHEMBL236976,-24.5656624034,-22.5870187786,2006
CHEMBL236986,-31.2848069747,11.4083733699,2007
CHEMBL236987,-33.787707529,9.92914317982,2007
CHEMBL236988,-31.733699123,10.7936167264,2007
CHEMBL236989,-38.5027819373,8.42676207349,2007
CHEMBL236990,-38.2587893205,7.79372079444,2007
CHEMBL237179,-29.408265936,-21.7981790321,2006
CHEMBL237389,-30.1539975859,-21.3551680054,2006
CHEMBL237593,-28.5398812933,-21.4523407402,2006
CHEMBL237594,-30.9362067391,-20.644746632,2006
CHEMBL2376482,-3.91275791014,-2.97474676924,2012
CHEMBL2376483,-4.40571899245,-2.27530949535,2012
CHEMBL2376484,-2.90136471294,-2.97455022156,2012
CHEMBL2376485,-4.28745207369,-3.80546847258,2012
CHEMBL2376486,-4.2542744424,-2.15325549474,2012
CHEMBL2376487,-3.97853872821,-2.7668165343,2012
CHEMBL2376488,-4.19134384715,-3.07485466278,2012
CHEMBL2376489,-1.72922014305,-2.3024331736,2012
CHEMBL2376490,-4.10674383186,-2.35123554855,2012
CHEMBL2376491,-4.97718850571,-2.09702533218,2012
CHEMBL2376492,-1.77212856739,1.87685260478,2012
CHEMBL2376493,-1.45452919209,2.9008773872,2012
CHEMBL2376560,-0.995411144622,1.32111376549,2012
CHEMBL2376561,-0.320140958674,0.918513974257,2012
CHEMBL2377443,2.62723236443,-10.1864269193,2012
CHEMBL2377590,2.04078866312,-12.1060661868,2012
CHEMBL2377591,1.16270356429,-12.8039631097,2012
CHEMBL238277,-34.0094602813,11.0379721819,2007
CHEMBL238520,-21.3190713494,-38.1722609097,2006
CHEMBL238770,-35.7591329814,8.38527876413,2007
CHEMBL2391541,4.78918777572,-7.54011801206,2013
CHEMBL23965,28.7382739564,-14.3283076885,2003
CHEMBL2407547,-19.8250214585,28.6938506387,2013
CHEMBL2407551,-19.7132035041,28.3271425643,2013
CHEMBL2407553,-19.3200351287,28.3176237399,2013
CHEMBL240922,-26.3049806051,-21.4876310924,2006
CHEMBL2413982,46.8345384139,-5.00975548038,2013
CHEMBL2413984,-8.88141328673,8.0565098253,2013
CHEMBL2413985,-9.06579784496,30.6492193341,2013
CHEMBL2413986,-10.3414403458,31.2170204392,2013
CHEMBL2413987,-7.70113262684,30.6397027291,2013
CHEMBL2442272,-0.10473406288,-1.65710471728,2013
CHEMBL24474,-8.53941548975,34.9780616404,2003
CHEMBL245806,-33.991630757,22.3194661137,2006
CHEMBL246077,44.8692474234,-5.33482800624,2006
CHEMBL246078,42.810181751,-4.67310277914,2006
CHEMBL246079,46.1161799575,-5.70687461349,2006
CHEMBL246080,44.0611024016,-4.82618299203,2006
CHEMBL246289,43.8976088507,-5.95805422377,2006
CHEMBL246290,44.8929891772,-4.24460592776,2006
CHEMBL246291,45.5726898718,-6.52729708406,2006
CHEMBL246498,45.7309139143,-6.86498798676,2006
CHEMBL246499,45.7787688074,-2.55760129715,2006
CHEMBL246500,46.8576014957,-4.39089518607,2006
CHEMBL246704,45.3159533945,-1.71561583933,2006
CHEMBL246705,44.9661686929,-4.48631113705,2006
CHEMBL246706,45.7681512298,-3.77367533332,2006
CHEMBL246916,45.2359524551,-4.20562005579,2006
CHEMBL246917,44.2972508435,-6.09384621768,2006
CHEMBL246918,43.913109291,-0.110408930188,2006
CHEMBL247071,-31.098110591,25.0374733248,2006
CHEMBL247119,44.3638507768,-1.97702536087,2006
CHEMBL247120,47.3593026621,-5.15806423323,2006
CHEMBL247121,40.8886041162,-2.7390241905,2006
