,x,y,year
CHEMBL1177916,-20.1200822457,6.15646305809,2001
CHEMBL1177920,-19.7592555196,8.31266311941,2001
CHEMBL1177923,-21.438309657,8.8814413376,2001
CHEMBL1177924,-18.9018532945,7.75936490554,2001
CHEMBL1177930,-21.6396959837,7.7995261756,2001
CHEMBL1181665,-21.3048989076,-12.7727057074,2005
CHEMBL1181680,-20.8352035176,-14.4602714733,2005
CHEMBL1181770,-20.8480110224,-13.5969630391,2005
CHEMBL1182730,-17.1338762943,8.89568670593,2001
CHEMBL1182731,-19.9428313363,11.8997770842,2001
CHEMBL1182816,-16.9832557272,5.59168286619,2001
CHEMBL1182827,-16.1972788852,8.37050465364,2001
CHEMBL1182828,-16.1889512474,12.2165022494,2001
CHEMBL1185954,7.1472350266,-40.362619177,2009
CHEMBL1186019,7.27466861689,-41.2010311224,2009
CHEMBL1186092,5.97100396554,-41.979320943,2009
CHEMBL1186108,6.3398154434,-42.309535906,2009
CHEMBL1186115,4.23393380759,-40.6180028456,2009
CHEMBL1186133,10.0740066384,-41.3106694553,2009
CHEMBL1186135,6.07268893583,-43.9494895726,2009
CHEMBL1186164,9.86550875566,-39.6887515113,2009
CHEMBL1186169,5.68390634985,-42.024896616,2009
CHEMBL1186458,8.7465367783,-39.433758559,2009
CHEMBL1186509,5.5450390128,-42.6434728989,2009
CHEMBL1186561,7.6723858863,-39.8223503583,2009
CHEMBL1186590,6.605516059,-41.4847496407,2009
CHEMBL1186595,10.1759961435,-42.4075827532,2009
CHEMBL1186608,2.96829618959,-41.5223949142,2009
CHEMBL1186673,3.90542770331,-40.2412484418,2009
CHEMBL1186686,8.90235139937,-42.2714085607,2009
CHEMBL1186687,7.59122886433,-40.1156650255,2009
CHEMBL1186699,10.2511217087,-43.5754286423,2009
CHEMBL1186705,8.62331080091,-43.4948316148,2009
CHEMBL1186735,5.39582986213,-42.2587823567,2009
CHEMBL1186736,9.86825097907,-40.9020210425,2009
CHEMBL1186737,7.04747992906,-41.4475108868,2009
CHEMBL1187088,6.75412756114,-40.2393806727,2009
CHEMBL1187168,9.04825890196,-42.8500967395,2009
CHEMBL1187169,9.27550668921,-42.782558925,2009
CHEMBL1187177,-34.3802572099,25.5714086416,2008
CHEMBL1187185,1.21408486511,1.52410178379,2009
CHEMBL1187186,5.72950192183,-40.5569452337,2009
CHEMBL1187187,9.75317929334,-42.7237643008,2009
