,x,y,year
CHEMBL1086613,-2.00087680154,-74.927166854,2009
CHEMBL1086626,-1.3298386404,-70.2646139654,2009
CHEMBL1086754,-7.83992527435,-67.1797924701,2009
CHEMBL1086755,-5.51421379419,-72.5897050331,2009
CHEMBL1086756,-7.97820475117,-67.0764805362,2009
CHEMBL1086798,-35.5879009495,-64.5538085439,2010
CHEMBL1086958,-37.7800869857,-63.7821966387,2010
CHEMBL1086959,-36.9895939647,-63.5916395162,2010
CHEMBL1087067,-36.587761219,-64.7755142427,2010
CHEMBL1087182,-39.5605789496,-66.0486782414,2010
CHEMBL1087318,-37.6480956283,-65.3671352446,2010
CHEMBL1087319,-37.5567775895,-65.9499185125,2010
CHEMBL1087444,-36.8471199273,-64.9531242671,2010
CHEMBL1087773,1.05442169529,-73.7684872538,2009
CHEMBL1087868,-36.5797242942,-59.4843755869,2010
CHEMBL1087895,-3.05931618154,-76.2891341512,2009
CHEMBL1087896,-3.55968769454,-75.8296919632,2009
CHEMBL1088163,-3.8251702825,-74.4592789456,2009
CHEMBL1088164,-4.15503049633,-75.947493138,2009
CHEMBL1088165,-0.79312639433,-75.9878999584,2009
CHEMBL1088312,-4.77818453365,-70.740847772,2009
CHEMBL1088313,-0.372405169238,-74.9373589212,2009
CHEMBL1088314,2.97716682891,-73.959413981,2009
CHEMBL1088874,-25.8028039993,-23.9064969208,2009
CHEMBL1089793,-25.9302343598,-24.1997045523,2009
CHEMBL1089881,-26.8468648988,-22.012718856,2009
CHEMBL1091105,33.2564463345,-53.040636089,2009
CHEMBL1091106,34.8483461588,-46.0514192484,2009
CHEMBL1092238,-24.9006390861,-24.3775625906,2009
CHEMBL1092921,-26.4645560644,-25.13692312,2009
CHEMBL1092929,-25.6880793218,-22.5981766409,2009
CHEMBL1093469,-26.3560267149,-24.5905471109,2009
CHEMBL1093698,35.6109444712,-46.9873468937,2009
CHEMBL1093699,37.3228813861,-46.541318142,2009
CHEMBL1093802,-26.6810581106,-21.1335413363,2009
CHEMBL1094381,-36.2913444808,-60.733616255,2010
CHEMBL109528,-7.78978712504,-23.3521005659,1999
CHEMBL109548,10.7343976205,36.9413149761,1999
CHEMBL109589,-16.0960081847,24.6399542506,2001
CHEMBL1095934,1.90333848025,-34.7347822233,2008
CHEMBL10961,-24.0708082627,11.8542549096,2009
CHEMBL1096275,1.64506765468,-34.4220609772,2008
CHEMBL1096276,-3.72808059632,-35.6103219365,2008
CHEMBL1096620,0.188896069878,-35.8936310807,2008
CHEMBL109673,12.940706322,42.6845834883,1999
CHEMBL109763,-18.202730315,26.4128058804,2001
CHEMBL1097970,0.25227516508,-33.8540465515,2008
CHEMBL1098230,28.1335822141,-5.27620516594,2010
CHEMBL1098286,-2.36089996238,-35.0257880978,2008
CHEMBL1098287,-1.19287895479,-36.1335544308,2008
CHEMBL1098307,-1.61217681508,-34.9140623562,2008
CHEMBL1098609,0.817594982797,-34.8441521319,2008
CHEMBL1098614,1.06700758882,-33.4893377406,2008
CHEMBL1098615,0.435793222359,-32.6330840802,2008
CHEMBL1098616,-2.27343380531,-35.2959638847,2008
CHEMBL109877,-20.3858433008,-9.04301561074,2002
CHEMBL1099374,-38.6608118058,-63.5524846367,2010
CHEMBL11,-15.0763065159,10.9260763583,2001
