,x,y,year
CHEMBL1089881,-26.0870780841,-26.1326062026,2009
CHEMBL1090397,-30.3732536982,-24.3686855418,2009
CHEMBL1090398,-26.9475463279,-33.1789657073,2009
CHEMBL1090399,4.99136629859,-60.3642048116,2009
CHEMBL1090400,2.27715869931,-61.203562893,2009
CHEMBL1090720,0.336276568232,-59.8891763632,2009
CHEMBL1090757,8.16391187368,-59.1431119483,2009
CHEMBL1091104,-0.358714393312,-60.8588833773,2009
CHEMBL1091105,2.65114882094,-64.8513062573,2009
CHEMBL1091106,3.45294043725,-65.0703439697,2009
CHEMBL1091452,-22.0441554229,-35.5040769507,2009
CHEMBL1092029,6.38878960309,-61.3865231708,2009
CHEMBL1092167,8.05200687047,-62.1646882208,2009
CHEMBL1092238,-25.7045473223,-28.839192317,2009
CHEMBL1092921,-25.9201122174,-24.9255317149,2009
CHEMBL1092929,-28.3685241131,-27.8181772726,2009
CHEMBL1093469,-25.2434641316,-26.8638727839,2009
CHEMBL1093698,5.96379826008,-60.4962982364,2009
CHEMBL1093699,3.10401479097,-63.5037498682,2009
CHEMBL1093802,-25.4362421373,-27.4859434038,2009
CHEMBL109528,40.6533856577,11.008343854,1999
CHEMBL109548,28.2963484358,22.0507876414,1999
CHEMBL109589,-65.2633587259,30.6479164753,2001
CHEMBL109673,29.975075718,22.2257007557,1999
CHEMBL109763,-61.4468559955,35.8635132438,2001
CHEMBL11,15.6621873089,-10.7965316844,2001
CHEMBL110151,-57.3357645418,33.0580676495,2001
CHEMBL110365,-4.73758654549,-34.0668339117,2007
CHEMBL110740,-61.1613492882,30.3601159684,2001
CHEMBL110802,-58.4580497931,28.5269839095,2001
CHEMBL110847,38.6930251266,11.0571281128,1999
CHEMBL110948,32.3445371276,30.2550347169,1999
CHEMBL111061,-60.3952467626,34.7082623656,2001
CHEMBL111184,47.7896979004,10.3169662551,2002
CHEMBL111189,29.8136982922,25.88651115,1999
CHEMBL1112,7.11728625466,19.0246556396,2007
CHEMBL111352,41.8664790619,25.6347795494,2002
CHEMBL111361,-56.9542164904,35.5102808498,2001
CHEMBL111393,30.9533320675,24.248111095,1999
CHEMBL111509,24.8778227961,26.19913491,1999
CHEMBL111708,-61.7635082224,32.7324895271,2001
CHEMBL111912,-63.0443939698,24.9061703264,2001
CHEMBL112590,-63.7694486582,32.8932410683,2001
CHEMBL112653,-58.5305595823,33.8572752293,2001
CHEMBL112768,-64.9901056977,31.9038215973,2001
CHEMBL112792,-60.9571977444,36.6047209932,2001
CHEMBL113215,-68.2963615987,36.5717412463,2001
CHEMBL113238,46.0209977825,11.5762911231,2002
CHEMBL113600,7.3270630745,6.9577827866,1992
CHEMBL113624,-44.8018337728,-44.0296999034,1992
CHEMBL113956,11.9683767478,11.6010114257,2001
CHEMBL114012,-21.9226801992,43.6385034689,2000
CHEMBL114445,-64.5536237608,28.6668863614,2001
CHEMBL115076,-32.3562852702,-5.32933282486,2001
CHEMBL116209,-61.9066975264,23.435355537,2003
CHEMBL1162962,-20.5496661879,32.9539609897,2006
CHEMBL116448,-24.2049973276,45.5898237515,2000
CHEMBL116463,10.4629139031,13.1094700745,2001
CHEMBL116940,-67.6622737437,24.0965723252,2003
CHEMBL1170237,-79.4944195963,-36.4391283876,2013
CHEMBL1172812,-80.9506632679,-35.9121313814,2010
CHEMBL1173331,-75.0371481003,-33.7111542753,2013
CHEMBL1173333,-80.4296298693,-35.9688639794,2010
CHEMBL1173334,-80.61374964,-34.5635801616,2010
CHEMBL1173408,-79.3649943574,-32.0718610978,2010
CHEMBL1173525,-76.0686230135,-35.125347191,2013
CHEMBL1173820,-80.9867187408,-36.7146444224,2010
CHEMBL117537,13.5606745481,13.9204744362,2001
CHEMBL117689,-70.5286741419,27.4682763785,2003
CHEMBL1177908,13.4537278558,-52.4795003672,2001
CHEMBL1177916,13.0297542515,-58.8510460554,2001
CHEMBL1177920,14.0639033074,-59.9616950925,2001
CHEMBL1177923,12.158517336,-60.3889066082,2001
CHEMBL1177924,11.8341655512,-59.690629283,2001
CHEMBL1177930,12.6994717744,-55.9617835267,2001
CHEMBL1181665,12.8256586856,-71.5091015575,2005
CHEMBL1181680,10.2294271089,-68.6020025262,2005
CHEMBL1181770,12.5496377475,-70.3315028487,2005
CHEMBL1182730,11.6636550516,-52.5189832039,2001
CHEMBL1182731,12.1176208942,-58.1041231495,2001
CHEMBL1182816,17.4636781763,-54.4508799671,2001
