,x,y,year
CHEMBL105747,-1.91325364537,27.1781361816,1997
CHEMBL105812,52.2849808784,-93.3548245224,2003
CHEMBL105850,-83.7909654791,-85.7608522378,2003
CHEMBL105926,44.3158258077,-90.2214034176,2003
CHEMBL105955,-89.112595652,-88.801334266,2003
CHEMBL105958,-89.4460326746,-87.1473551383,2003
CHEMBL10602,34.0263028049,52.7208518483,2009
CHEMBL10603,55.9860807736,6.60290195134,2001
CHEMBL106176,-8.20701746102,-169.564494037,2002
CHEMBL106186,46.5661312823,32.5451102009,1998
CHEMBL10623,-8.66544883789,18.3549274817,1991
CHEMBL106283,-69.7054349672,-32.2696361072,1992
CHEMBL10640,9.61594112134,28.5485851992,1991
CHEMBL106413,-1.0564848393,126.905102629,1997
CHEMBL106481,-78.4918070513,-53.3103210226,2002
CHEMBL1065,158.457844893,-57.2594637138,1987
CHEMBL10658,3.52044017503,4.4508204379,1991
CHEMBL1067,-92.0191730267,-26.4910805699,2010
CHEMBL106737,-26.3657646639,-63.3012946897,1998
CHEMBL10677,-8.09894040002,-114.168364034,1993
CHEMBL106794,-8.05098239559,-165.052282521,2002
CHEMBL10682,-5.07406727724,19.7644969047,1991
CHEMBL106854,-7.0069317596,-29.4600026922,1997
CHEMBL106911,-8.33844228327,-169.378619015,2002
CHEMBL10692,14.990675912,25.7489938214,1991
CHEMBL107084,52.3379164806,35.9341618104,1998
CHEMBL107141,35.4681327017,22.0924290886,1997
CHEMBL107336,-2.35395640352,-26.0531323283,1997
CHEMBL107486,-14.1931047929,47.3970003519,1996
CHEMBL107487,-91.3128846232,82.8987187166,1996
CHEMBL107503,-14.2515470129,56.1421581032,1996
CHEMBL107511,-110.122902391,69.7837287515,1996
CHEMBL107617,-91.938684906,79.9982922015,1996
CHEMBL10764,54.9574018876,-10.3164844363,2001
CHEMBL107643,-17.7980353156,-4.76396462948,1990
CHEMBL1076583,110.890598036,-111.824728226,2009
CHEMBL1076586,137.070912057,-74.1524314286,2009
CHEMBL1076665,115.523983672,-106.944420309,2009
CHEMBL1076684,116.712682115,-110.826186759,2009
CHEMBL1076687,113.727982023,-110.473955288,2009
CHEMBL1077168,-18.3835492002,-23.9041984367,2009
CHEMBL10780,50.3709476448,26.8900272219,2001
CHEMBL1078207,-83.9494736634,27.0699180829,2009
CHEMBL1078208,-79.1391060496,33.4853796285,2009
CHEMBL107847,-6.31332430377,-169.101797935,2002
CHEMBL1078491,-78.7311184793,33.5230855207,2009
CHEMBL1078492,-80.9751786291,29.2144873028,2009
CHEMBL1078595,-82.7487193036,28.7163553628,2009
CHEMBL107860,-9.50698064213,-170.230914291,2002
CHEMBL1078745,-63.4493679739,138.831224214,2009
CHEMBL1078750,-23.9846707156,-20.2341214355,2009
CHEMBL1078751,-34.2474572019,-9.81384257347,2009
CHEMBL1078772,-28.2564293359,-8.14708179683,2009
CHEMBL1078773,-29.2771858487,-12.2057851826,2009
CHEMBL1078896,-66.1309729058,137.995653016,2009
CHEMBL1078953,-30.4773133212,1.08950336623,2009
CHEMBL1078954,-28.17888154,-8.55845456624,2009
CHEMBL107903,31.9483367159,17.4037625825,1997
CHEMBL1079065,-35.4965796775,-9.68028616958,2009
CHEMBL1079066,-32.5290965865,-7.67691973263,2009
CHEMBL107912,-8.0818232784,-170.59811171,2002
CHEMBL1079180,-64.8730075172,136.063869133,2009
CHEMBL107921,-17.3102292897,54.3312984953,1996
CHEMBL10793,62.3279541362,-10.3565969218,2001
CHEMBL1079311,-83.5415690317,29.6307370695,2009
CHEMBL1079460,-87.233426697,-30.6122119056,2009
CHEMBL10796,57.4803353659,-11.3434430331,2001
CHEMBL1079976,117.006165555,-115.307794812,2009
CHEMBL1079977,119.696624369,-124.877515106,2009
CHEMBL1079978,111.263993753,-110.665483873,2009
CHEMBL1080155,135.726238797,-70.2912750824,2009
CHEMBL1080215,-49.1373521101,53.1917752856,2009
CHEMBL108026,55.0835927115,-92.8625080517,2003
CHEMBL1080316,113.52198482,-108.878974843,2009
CHEMBL1080331,113.263091107,-110.515464044,2009
CHEMBL1080380,110.749761549,-114.995846709,2009
CHEMBL1080381,107.745513308,-116.801189903,2009
CHEMBL1080389,134.931399546,-68.1915745363,2009
CHEMBL1080522,-46.3996473033,47.8953869615,2009
CHEMBL1080554,-46.6498755679,49.6742956011,2009
CHEMBL1080555,-48.4093921599,42.4906158544,2009
CHEMBL1080556,135.815980006,-69.6987172464,2009
CHEMBL1080574,118.062083437,-111.636580286,2009
CHEMBL1080671,-55.440383462,60.1720178009,2009
CHEMBL1080672,-41.7090739708,36.0584276886,2009
CHEMBL1080683,-49.5526347516,55.0640390791,2009
CHEMBL1080694,115.007231027,-109.673018554,2009
CHEMBL1080711,-50.0584651241,41.6290158071,2009
CHEMBL1080712,-40.0269626365,50.3490559055,2009
CHEMBL1080726,-50.5234380291,43.442199898,2009
CHEMBL1080727,-48.9892685998,42.5053017739,2009
