,,extra_tooltip,which,x,y
0,US2014_296528compound5a,,drugbank,-15.550330162,1.05007719994
1,US2014_296528compound5e,,drugbank,-15.707116127,0.835049629211
2,US2014_296528compound5c,,drugbank,-15.3816642761,0.952111840248
3,US2014_296528compound5,,drugbank,-15.7339391708,1.55493140221
4,US2015_374695compound6,,drugbank,13.4305152893,30.0988883972
5,US2015_374695compound6a,,drugbank,-14.9843425751,-1.13549351692
6,US2015_374695compound6e,,drugbank,-15.296959877,-1.00820422173
7,US2015_374695compound6c,,drugbank,-14.7951898575,-1.12409842014
8,WO2017_220799compound1,,drugbank,-22.4727249146,0.921083629131
9,WO2017_220799compound14,,drugbank,-22.53840065,0.96476739645
10,WO2017_220799compound18,,drugbank,-22.1363525391,1.00999057293
11,WO2017_220799compound39,,drugbank,-22.7754478455,0.322686165571
12,WO2017_220799compound54,,drugbank,-22.1448612213,0.383935958147
13,WO2017_220799compound60,,drugbank,-22.8116035461,1.26892161369
14,WO2017_220799compound30,,drugbank,-21.8010044098,1.26265227795
15,US2018_125798,,drugbank,36.4378662109,16.2546844482
16,US2018_125798,,drugbank,36.4037132263,16.138917923
17,US2018_125798,,drugbank,37.1013069153,16.557144165
18,US2018_125798,,drugbank,36.1272125244,16.7425537109
19,US2018_125798,,drugbank,36.3238143921,16.5126285553
20,US2018_125798,,drugbank,36.563041687,15.6151208878
21,US2018_125798,,drugbank,35.7903938293,15.9028635025
22,WO2013_102249compoundLDT2,,drugbank,4.87802553177,-26.5898036957
23,WO2013_102249compoundLDT6,,drugbank,6.73625326157,-26.3364620209
24,WO2013_102249compoundLDT8,,drugbank,4.80564117432,-25.2944355011
25,WO2013_102249compoundLDT39,,drugbank,5.90147447586,-24.2203521729
26,WO2013_102249compoundLDT66,,drugbank,6.52845096588,-26.0040168762
27,WO2013_102249compoundLDT68,,drugbank,6.65734481812,-26.0690059662
28,WO2013_102249compoundLDT69,,drugbank,5.72855854034,-24.8133869171
29,WO2014_180165compoundI-1,,drugbank,-9.1022195816,-58.1170425415
30,WO2014_180165compoundI-2,,drugbank,-8.37658596039,-58.0435523987
31,WO2014_180165compoundI-6,,drugbank,-8.43166446686,-57.853843689
32,WO2014_180165compoundII-4,,drugbank,-8.08343410492,-56.1643943787
33,WO2014_180165compoundII-24,,drugbank,-8.08343410492,-56.1643943787
34,WO2014_180165compoundIII-2,,drugbank,-9.50725650787,-57.4688339233
35,WO2014_180165compoundIV-5,,drugbank,-8.6197977066,-57.2036132812
36,US2016_244429compound1,,drugbank,-15.0722398758,27.6829013824
37,US2016_244429compound31,,drugbank,1.09330070019,20.6881866455
38,US2016_244429compound33,,drugbank,1.41672194004,20.6992282867
39,US2016_244429compound10,,drugbank,-0.163988009095,20.4106521606
40,US2016_244429compound34,,drugbank,1.41749477386,20.6870479584
41,US2016_244429compound14,,drugbank,0.821380734444,20.3800926208
42,US2016_244429compound64,,drugbank,2.02845668793,20.5562343597
43,US2016_244429compound58,,drugbank,1.28923225403,21.7751541138
44,WO2016_003296compound13,,drugbank,-11.7447166443,-32.1781921387
45,WO2016_003296compound23,,drugbank,-10.5943784714,-55.6566429138
46,WO2016_003296compound24,,drugbank,-10.6730670929,-55.6800041199
47,WO2016_003296compound66,,drugbank,-10.5943784714,-55.6566429138
48,WO2016_003296compound34,,drugbank,-13.0976648331,-32.3250923157
49,WO2016_003296compound30,,drugbank,-13.4579143524,-32.3827972412
50,WO2016_003296compound41,,drugbank,-13.4247341156,-32.3778457642
51,CHEMBL10048,,chembl,-9.96737861633,75.1510696411
52,CHEMBL10085,,chembl,-8.23495197296,-5.28795289993
53,CHEMBL10085,,chembl,-8.23483753204,-5.28817224503
54,CHEMBL101483,,chembl,-43.1031455994,-2.59019470215
55,CHEMBL101535,,chembl,-41.918094635,-4.80075550079
56,CHEMBL101690,,chembl,19.0980587006,21.4487762451
57,CHEMBL101690,,chembl,19.0980587006,21.4487762451
58,CHEMBL102175,,chembl,-42.5467300415,-3.61097049713
59,CHEMBL10270,,chembl,-16.4043159485,67.6818695068
60,CHEMBL103424,,chembl,20.3060588837,22.3777046204
61,CHEMBL103479,,chembl,21.1482181549,18.5195140839
62,CHEMBL103503,,chembl,20.867975235,20.6789150238
63,CHEMBL103983,,chembl,-42.8399734497,-1.22975647449
64,CHEMBL104026,,chembl,20.974105835,21.1891727448
65,CHEMBL10408,,chembl,-16.4561862946,67.9324188232
66,CHEMBL104144,,chembl,-6.98693037033,11.6929035187
67,CHEMBL104144,,chembl,-6.98696660995,11.6929130554
68,CHEMBL104144,,chembl,-6.98679161072,11.6926345825
69,CHEMBL104229,,chembl,-8.26315402985,9.1705198288
70,CHEMBL104229,,chembl,-8.26315402985,9.1705198288
71,CHEMBL104229,,chembl,-8.26371479034,9.17080497742
72,CHEMBL104384,,chembl,21.0920181274,18.92253685
73,CHEMBL104484,,chembl,20.1761131287,18.2616882324
74,CHEMBL104496,,chembl,21.930316925,17.2736949921
75,CHEMBL104692,,chembl,20.8787822723,17.8146362305
76,CHEMBL105204,,chembl,-6.67727899551,11.7362251282
77,CHEMBL10561,,chembl,-16.0808582306,65.3396835327
78,CHEMBL105722,,chembl,22.5415306091,18.6066093445
79,CHEMBL105743,,chembl,21.2435455322,18.2825641632
80,CHEMBL105958,,chembl,22.0010852814,18.8743915558
81,CHEMBL10603,,chembl,62.9455528259,-7.48889732361
82,CHEMBL106283,,chembl,-41.8176269531,-4.14782381058
83,CHEMBL10677,,chembl,-8.86644077301,76.1861724854
84,CHEMBL107511,,chembl,-13.9743614197,42.4483680725
85,CHEMBL107617,,chembl,-8.64932727814,40.8149871826
86,CHEMBL1077168,,chembl,-45.1566429138,14.7745513916
87,CHEMBL1078751,,chembl,-46.5349006653,13.4570055008
88,CHEMBL1078772,,chembl,-46.2593727112,13.2404766083
89,CHEMBL1078773,,chembl,-46.3237571716,14.5513811111
90,CHEMBL1078953,,chembl,-45.6821632385,14.1544122696
91,CHEMBL1079065,,chembl,-44.8091468811,14.6122236252
92,CHEMBL1079066,,chembl,-44.5767288208,13.7880153656
93,CHEMBL10793,,chembl,62.7143936157,-6.52124547958
94,CHEMBL10796,,chembl,62.9136886597,-7.16926336288
95,CHEMBL1082862,,chembl,-45.1345901489,13.7394828796
96,CHEMBL1082862,,chembl,-45.1347923279,13.7362117767
97,CHEMBL1083181,,chembl,-45.8092498779,13.7541046143
98,CHEMBL1083181,,chembl,-45.8092498779,13.7541046143
99,CHEMBL1083182,,chembl,-37.6712722778,17.8869247437
100,CHEMBL1084658,,chembl,-45.6058349609,13.1970052719
101,CHEMBL1086156,,chembl,-33.312374115,18.8744525909
102,CHEMBL1086626,,chembl,26.486415863,-15.4453468323
103,CHEMBL1086754,,chembl,26.518989563,-15.5520009995
104,CHEMBL1086756,,chembl,26.5540771484,-15.6462488174
105,CHEMBL1087942,,chembl,-44.5766220093,13.7878446579
106,CHEMBL1088072,,chembl,-44.9036750793,12.8619861603
107,CHEMBL1091933,,chembl,-45.6927070618,3.62293028831
108,CHEMBL1094556,,chembl,0.396026998758,-80.30078125
109,CHEMBL1094556,,chembl,0.396013081074,-80.3006515503
110,CHEMBL1094557,,chembl,1.2730191946,-80.2641220093
111,CHEMBL1094557,,chembl,1.27301681042,-80.2642059326
112,CHEMBL1094558,,chembl,-1.51868784428,-80.753074646
113,CHEMBL1094558,,chembl,-1.51867341995,-80.7529144287
114,CHEMBL1094872,,chembl,-0.470251142979,-80.9662246704
115,CHEMBL1094872,,chembl,-0.470163434744,-80.9663467407
116,CHEMBL1094908,,chembl,-45.7076530457,3.60250997543
117,CHEMBL1095256,,chembl,-8.64054203033,-29.2547168732
118,CHEMBL109526,,chembl,-9.247174263,39.5003166199
119,CHEMBL1096155,,chembl,-2.45082831383,-81.5083770752
120,CHEMBL1096155,,chembl,-2.45082831383,-81.5083770752
121,CHEMBL1096156,,chembl,-2.3249297142,-84.1958236694
122,CHEMBL1096156,,chembl,-2.32502532005,-84.1959762573
123,CHEMBL1096476,,chembl,0.657738924026,-81.7036514282
124,CHEMBL1096476,,chembl,0.657715439796,-81.7037353516
125,CHEMBL1096477,,chembl,-0.414128571749,-81.3553009033
126,CHEMBL1096477,,chembl,-0.414128571749,-81.3553009033
127,CHEMBL1096529,,chembl,-0.8112449646,-79.6574859619
128,CHEMBL1096529,,chembl,-0.811255574226,-79.6570281982
129,CHEMBL1096540,,chembl,-1.46498215199,-83.4501037598
130,CHEMBL1096540,,chembl,-1.46492290497,-83.4502258301
131,CHEMBL1096671,,chembl,-1.74260759354,-84.4647140503
132,CHEMBL1096671,,chembl,-1.74260759354,-84.4647140503
133,CHEMBL1096802,,chembl,-1.5634663105,-82.1447143555
134,CHEMBL1096802,,chembl,-1.5634663105,-82.1447143555
135,CHEMBL1096903,,chembl,-8.50879955292,-27.7970428467
136,CHEMBL1097181,,chembl,-2.78796744347,-81.7822799683
137,CHEMBL1097181,,chembl,-2.78796744347,-81.7822799683
138,CHEMBL1097484,,chembl,-0.760421395302,-83.9631729126
139,CHEMBL1097484,,chembl,-0.760455548763,-83.9632949829
140,CHEMBL1098133,,chembl,1.78872299194,-80.9727096558
141,CHEMBL1098133,,chembl,1.78867590427,-80.9728317261
142,CHEMBL1098134,,chembl,0.930312514305,-82.6679916382
143,CHEMBL1098134,,chembl,0.930312514305,-82.6679916382
144,CHEMBL1098483,,chembl,-0.0126277925447,-82.344039917
145,CHEMBL1098483,,chembl,-0.0126145984977,-82.3439712524
146,CHEMBL1099255,,chembl,-8.60702419281,-29.3138885498
147,CHEMBL110317,,chembl,-8.20440006256,36.2820892334
148,CHEMBL110365,,chembl,21.1626491547,-11.9133691788
149,CHEMBL11066,,chembl,-8.84078788757,63.8636283875
150,CHEMBL11066,,chembl,-8.8407869339,63.8636436462
151,CHEMBL111021,,chembl,-50.2123565674,1.85780692101
152,CHEMBL111065,,chembl,-52.7299079895,3.18218970299
153,CHEMBL1112,,chembl,30.5952682495,-8.31453514099
154,CHEMBL1112,,chembl,30.5952110291,-8.31457424164
155,CHEMBL1112,,chembl,30.5930862427,-8.3167257309
156,CHEMBL1112,,chembl,30.5952110291,-8.31457424164
157,CHEMBL111376,,chembl,-9.18689250946,40.0904388428
158,CHEMBL11170,,chembl,-10.967546463,63.8436508179
159,CHEMBL11170,,chembl,-10.9675731659,63.8426208496
160,CHEMBL111713,,chembl,-50.5659217834,1.53917360306
161,CHEMBL11265,,chembl,41.3964691162,7.64846420288
162,CHEMBL112841,,chembl,-50.2187156677,1.92415821552
163,CHEMBL113326,,chembl,-51.8299369812,2.9194726944
164,CHEMBL113752,,chembl,-62.7406616211,4.46853971481
165,CHEMBL11386,,chembl,-9.53126621246,62.3853149414
166,CHEMBL11388,,chembl,-9.60769939423,63.4325027466
167,CHEMBL11388,,chembl,-9.60769939423,63.4325027466
168,CHEMBL11388,,chembl,-9.60769939423,63.4325065613
169,CHEMBL113960,,chembl,-58.384601593,-0.000827977433801
170,CHEMBL11425,,chembl,40.5957832336,7.2429857254
171,CHEMBL114452,,chembl,-50.9689064026,2.22144412994
172,CHEMBL114453,,chembl,-51.2002639771,2.43550205231
173,CHEMBL114893,,chembl,-52.9463386536,-4.86607503891
174,CHEMBL115003,,chembl,-53.0521469116,-4.93364524841
175,CHEMBL11577,,chembl,-1.50044500828,71.9260406494
176,CHEMBL11592,,chembl,41.2353477478,7.58097648621
177,CHEMBL116314,,chembl,0.773097395897,43.5233078003
178,CHEMBL116626,,chembl,-58.2513008118,0.220369383693
179,CHEMBL116809,,chembl,-58.384727478,-0.000806071329862
180,CHEMBL117157,,chembl,-2.78142333031,42.202960968
181,CHEMBL11771,,chembl,-9.04632472992,64.3005752563
182,CHEMBL117972,,chembl,-54.0583343506,-7.64149570465
183,CHEMBL1179986,,chembl,5.49568843842,-18.6072177887
184,CHEMBL1182155,,chembl,-39.6186523438,19.557800293
185,CHEMBL1182155,,chembl,-39.6185417175,19.5578403473
186,CHEMBL1184199,,chembl,22.8615570068,-56.3829956055
187,CHEMBL1185,,chembl,-17.5712471008,48.1627120972
188,CHEMBL1185,,chembl,-17.5710735321,48.1626358032
189,CHEMBL118563,,chembl,-0.477671802044,41.36769104
190,CHEMBL11866,,chembl,1.68603777885,65.7684020996
191,CHEMBL1190042,,chembl,-15.7254610062,-38.223815918
192,CHEMBL119455,,chembl,-28.9987373352,-12.5364055634
193,CHEMBL1194812,,chembl,22.8822498322,-56.4187660217
194,CHEMBL11963,,chembl,-2.9236471653,80.1375579834
195,CHEMBL1199172,,chembl,7.16440486908,63.9321327209
196,CHEMBL119927,,chembl,0.79358202219,38.8498077393
197,CHEMBL120055,,chembl,-1.93979942799,39.9661598206
198,CHEMBL120055,,chembl,-1.93905103207,39.96641922
199,CHEMBL120055,,chembl,-1.94032645226,39.9666633606
200,CHEMBL120272,,chembl,-0.627996504307,43.4951629639
201,CHEMBL120480,,chembl,-2.79324650764,42.133102417
202,CHEMBL120514,,chembl,0.774214863777,43.5226669312
203,CHEMBL120927,,chembl,-32.1397247314,-11.0018615723
204,CHEMBL1210154,,chembl,-61.6977043152,12.7729234695
205,CHEMBL121207,,chembl,-0.473306447268,43.4165267944
206,CHEMBL12157,,chembl,-1.06544709206,67.0477905273
207,CHEMBL121901,,chembl,0.382893443108,41.8239974976
208,CHEMBL1221497,,chembl,10.2258996964,-8.09650707245
209,CHEMBL1221498,,chembl,16.5751438141,-14.2448482513
210,CHEMBL1221499,,chembl,9.64298534393,-27.3174114227
211,CHEMBL1221544,,chembl,17.6413040161,-14.8579092026
212,CHEMBL1221545,,chembl,9.63753318787,-28.1274414062
213,CHEMBL1221591,,chembl,17.7162628174,-14.9153137207
214,CHEMBL1221592,,chembl,9.66411495209,-28.1290302277
215,CHEMBL1221594,,chembl,9.69968223572,-28.1319141388
216,CHEMBL1222362,,chembl,10.2240114212,-8.10586643219
217,CHEMBL122453,,chembl,-32.1397285461,-11.0018587112
218,CHEMBL12366,,chembl,-1.36912238598,72.2421951294
219,CHEMBL124069,,chembl,-26.9622631073,29.3718471527
220,CHEMBL124069,,chembl,-26.9623088837,29.3719902039
221,CHEMBL124069,,chembl,-26.9623775482,29.3712844849
222,CHEMBL1241546,,chembl,-24.177936554,-47.7072067261
223,CHEMBL1241547,,chembl,-25.8949050903,-48.6747741699
224,CHEMBL1241548,,chembl,-25.7695732117,-48.1346549988
225,CHEMBL1241557,,chembl,45.2962837219,-5.80739116669
226,CHEMBL1241639,,chembl,-24.1457042694,-47.6335868835
227,CHEMBL1241640,,chembl,-28.4037876129,-52.8056869507
228,CHEMBL1241641,,chembl,-26.0437793732,-48.7769432068
229,CHEMBL1241642,,chembl,-26.1610145569,-50.9518623352
230,CHEMBL1241736,,chembl,-27.3442783356,-53.2702255249
231,CHEMBL1241737,,chembl,-28.0380573273,-52.7813873291
232,CHEMBL1241738,,chembl,-24.7272663116,-48.5907821655
233,CHEMBL1241824,,chembl,-27.0047874451,-52.5739822388
234,CHEMBL1241825,,chembl,-25.5153980255,-51.4274482727
235,CHEMBL1241912,,chembl,-27.3451766968,-52.0657920837
236,CHEMBL1241913,,chembl,-26.6038627625,-51.7284545898
237,CHEMBL1241913,,chembl,-26.6038513184,-51.7287216187
238,CHEMBL1241998,,chembl,-28.1957702637,-51.5692329407
239,CHEMBL1242081,,chembl,-27.776052475,-51.1129837036
240,CHEMBL1242167,,chembl,-27.7798576355,-51.1042175293
241,CHEMBL1242257,,chembl,-27.7888565063,-51.0872612
242,CHEMBL1242345,,chembl,-27.0426311493,-52.0169868469
243,CHEMBL1242352,,chembl,3.27240014076,-29.8518829346
244,CHEMBL1242352,,chembl,3.27230739594,-29.8512058258
245,CHEMBL1242436,,chembl,-26.1220397949,-52.8229484558
246,CHEMBL1242444,,chembl,45.3096313477,-8.74405193329
247,CHEMBL1242445,,chembl,45.3096313477,-8.74405193329
248,CHEMBL1242533,,chembl,-26.2024040222,-52.7721672058
249,CHEMBL1242541,,chembl,45.931968689,-8.85977649689
250,CHEMBL1242542,,chembl,45.931968689,-8.85977649689
251,CHEMBL1242623,,chembl,-26.1991329193,-52.7740135193
252,CHEMBL1242632,,chembl,45.9415054321,-8.86848258972
253,CHEMBL1242633,,chembl,45.9415054321,-8.86848258972
254,CHEMBL1242717,,chembl,-26.0057735443,-53.4529800415
255,CHEMBL1242724,,chembl,45.3974342346,-6.68933534622
256,CHEMBL1242725,,chembl,45.3974342346,-6.68933534622
257,CHEMBL1242818,,chembl,46.129940033,-6.80472278595
258,CHEMBL1242819,,chembl,46.129940033,-6.80472278595
259,CHEMBL1242904,,chembl,-25.6532688141,-48.6316604614
260,CHEMBL1242912,,chembl,45.2962379456,-5.80736923218
261,CHEMBL124444,,chembl,21.0959434509,-25.7999267578
262,CHEMBL124638,,chembl,-28.4365272522,30.4663276672
263,CHEMBL124638,,chembl,-28.4365901947,30.4663028717
264,CHEMBL124700,,chembl,-25.4584999084,31.0388679504
265,CHEMBL124818,,chembl,-24.4885902405,26.4963359833
266,CHEMBL125349,,chembl,-71.3666152954,0.920110583305
267,CHEMBL125349,,chembl,-71.3666992188,0.920107364655
268,CHEMBL125365,,chembl,18.5377922058,-9.88226318359
269,CHEMBL1254582,,chembl,-37.8643264771,22.089597702
270,CHEMBL1254659,,chembl,-34.4485092163,17.8278770447
271,CHEMBL1254660,,chembl,-37.852142334,22.1070575714
272,CHEMBL1254742,,chembl,-35.5684661865,22.1733455658
273,CHEMBL1254743,,chembl,-36.2401161194,20.8157596588
274,CHEMBL1254828,,chembl,-34.2753257751,20.1538066864
275,CHEMBL1254829,,chembl,-35.2349586487,20.4349346161
276,CHEMBL1254914,,chembl,-35.5007133484,21.6536846161
277,CHEMBL1254915,,chembl,-35.5999755859,20.3057003021
278,CHEMBL1255002,,chembl,-33.7779273987,20.3771839142
279,CHEMBL1255003,,chembl,-34.8704071045,21.0246925354
280,CHEMBL1255085,,chembl,-34.3647193909,21.5185394287
281,CHEMBL1255086,,chembl,-35.2234230042,21.0143146515
282,CHEMBL12562,,chembl,-1.74545514584,71.4322662354
283,CHEMBL1257144,,chembl,21.2351646423,1.34970963001
284,CHEMBL1257145,,chembl,19.9544792175,1.78253984451
285,CHEMBL1257146,,chembl,15.9480886459,1.63474476337
286,CHEMBL1257147,,chembl,15.9339885712,1.60299324989
287,CHEMBL1257261,,chembl,21.319568634,1.94139134884
288,CHEMBL1257262,,chembl,23.3958454132,-0.263957351446
289,CHEMBL1257263,,chembl,18.1615467072,0.975448012352
290,CHEMBL1257264,,chembl,17.9693889618,0.249722108245
291,CHEMBL1257382,,chembl,23.4916820526,-0.00324538210407
292,CHEMBL1257383,,chembl,23.5215969086,2.65469384193
293,CHEMBL1257384,,chembl,18.0470333099,0.983422935009
294,CHEMBL1257385,,chembl,17.8871517181,0.276640951633
295,CHEMBL1257492,,chembl,23.5707168579,2.61986255646
