,,extra_tooltip,which,x,y
0,US2014_296528compound5a,US 2014/296528 compound 5a,drugbank,-464.018249512,589.562072754
1,US2014_296528compound5e,US 2014/296528 compound 5e,drugbank,4.385014534,845.395141602
2,US2014_296528compound5c,US 2014/296528 compound 5c,drugbank,1016.32531738,-301.303985596
3,US2014_296528compound5,US 2014/296528 compound 5,drugbank,573.841552734,-146.108963013
4,US2015_374695compound6,US 2015/374695 compound 6,drugbank,-334.925170898,734.853881836
5,US2015_374695compound6a,US 2015/374695 compound 6a,drugbank,-126.982910156,-195.873886108
6,US2015_374695compound6e,US 2015/374695 compound 6e,drugbank,407.584106445,-54.636844635
7,US2015_374695compound6c,US 2015/374695 compound 6c,drugbank,-777.721374512,481.718109131
8,WO2017_220799compound1,WO 2017/220799 compound 1,drugbank,79.9614639282,467.441894531
9,WO2017_220799compound14,WO 2017/220799 compound 14,drugbank,118.780395508,496.295074463
10,WO2017_220799compound18,WO 2017/220799 compound 18,drugbank,-1171.9107666,-133.069320679
11,WO2017_220799compound39,WO 2017/220799 compound 39,drugbank,-441.028533936,869.361877441
12,WO2017_220799compound54,WO 2017/220799 compound 54,drugbank,-405.644561768,-27.472202301
13,WO2017_220799compound60,WO 2017/220799 compound 60,drugbank,-1150.24658203,-8625.25195312
14,WO2017_220799compound30,WO 2017/220799 compound 30,drugbank,-627.224182129,-123.185142517
15,US2018_125798,US 2018/125798,drugbank,618.192932129,-152.324462891
16,US2018_125798,US 2018/125798,drugbank,469.555603027,-570.483581543
17,US2018_125798,US 2018/125798,drugbank,867.031188965,258.973114014
18,US2018_125798,US 2018/125798,drugbank,860.398193359,-937.624694824
19,US2018_125798,US 2018/125798,drugbank,612.588867188,-905.046020508
20,US2018_125798,US 2018/125798,drugbank,595.892089844,58.9036254883
21,US2018_125798,US 2018/125798,drugbank,-315.047485352,-729.380615234
22,WO2013_102249compoundLDT2,WO 2013/102249 compound LDT2,drugbank,-716.159118652,1146.7857666
23,WO2013_102249compoundLDT6,WO 2013/102249 compound LDT6,drugbank,-196.11076355,-1793.41064453
