,,extra_tooltip,which,x,y
71,CHEMBL104229,CHEMBL104229,chembl,-15.8012704849,-19.6489372253
72,CHEMBL104384,CHEMBL104384,chembl,0.413221299648,-50.2837142944
73,CHEMBL104484,CHEMBL104484,chembl,1.70573222637,-49.4100723267
74,CHEMBL104496,CHEMBL104496,chembl,-0.333686292171,-48.0026512146
75,CHEMBL104692,CHEMBL104692,chembl,1.01822292805,-48.6809501648
76,CHEMBL105204,CHEMBL105204,chembl,-13.3236312866,-17.0452270508
77,CHEMBL10561,CHEMBL10561,chembl,-3.91717791557,-91.1452102661
78,CHEMBL105722,CHEMBL105722,chembl,-1.22493433952,-49.4216041565
79,CHEMBL105743,CHEMBL105743,chembl,0.469823628664,-49.3209953308
80,CHEMBL105958,CHEMBL105958,chembl,-0.644879162312,-50.0449867249
81,CHEMBL10603,CHEMBL10603,chembl,55.8064842224,50.5967788696
82,CHEMBL106283,CHEMBL106283,chembl,-54.5191497803,16.2136898041
83,CHEMBL10677,CHEMBL10677,chembl,9.57418251038,-90.9085464478
84,CHEMBL107511,CHEMBL107511,chembl,19.2369155884,-47.5994033813
85,CHEMBL107617,CHEMBL107617,chembl,18.958896637,-40.3535118103
86,CHEMBL1077168,CHEMBL1077168,chembl,-55.7046318054,-35.2463531494
87,CHEMBL1078751,CHEMBL1078751,chembl,-57.8794288635,-33.491607666
88,CHEMBL1078772,CHEMBL1078772,chembl,-58.024066925,-34.0291557312
89,CHEMBL1078773,CHEMBL1078773,chembl,-56.5609207153,-35.8833465576
90,CHEMBL1078953,CHEMBL1078953,chembl,-56.8855018616,-33.5629463196
91,CHEMBL1079065,CHEMBL1079065,chembl,-55.4792289734,-34.8189468384
92,CHEMBL1079066,CHEMBL1079066,chembl,-55.9000396729,-33.9010772705
93,CHEMBL10793,CHEMBL10793,chembl,56.6981239319,49.7595977783
94,CHEMBL10796,CHEMBL10796,chembl,56.1904983521,50.394317627
95,CHEMBL1082862,CHEMBL1082862,chembl,-56.5370597839,-34.3078727722
96,CHEMBL1082862,CHEMBL1082862,chembl,-56.5126686096,-34.5448074341
97,CHEMBL1083181,CHEMBL1083181,chembl,-57.3124313354,-34.4480743408
98,CHEMBL1083181,CHEMBL1083181,chembl,-57.3160133362,-34.4463157654
99,CHEMBL1083182,CHEMBL1083182,chembl,-44.8927497864,-32.7842903137
100,CHEMBL1084658,CHEMBL1084658,chembl,-57.2560501099,-35.0665740967
101,CHEMBL1086156,CHEMBL1086156,chembl,-45.52318573,-31.5807170868
102,CHEMBL1086626,CHEMBL1086626,chembl,-13.8872804642,23.9159755707
103,CHEMBL1086754,CHEMBL1086754,chembl,-14.2360391617,23.9484977722
104,CHEMBL1086756,CHEMBL1086756,chembl,-14.3241682053,24.0635871887
105,CHEMBL1087942,CHEMBL1087942,chembl,-55.9077758789,-33.8974571228
106,CHEMBL1088072,CHEMBL1088072,chembl,-57.5977859497,-35.6781768799
107,CHEMBL1091933,CHEMBL1091933,chembl,-54.337677002,-5.16250991821
108,CHEMBL1094556,CHEMBL1094556,chembl,51.4656486511,88.5397415161
109,CHEMBL1094556,CHEMBL1094556,chembl,51.4943847656,88.5469055176
110,CHEMBL1094557,CHEMBL1094557,chembl,51.6960716248,89.6585998535
111,CHEMBL1094557,CHEMBL1094557,chembl,51.6937522888,89.6585998535
112,CHEMBL1094558,CHEMBL1094558,chembl,52.0298690796,86.0159072876
113,CHEMBL1094558,CHEMBL1094558,chembl,52.0255622864,86.0291137695
114,CHEMBL1094872,CHEMBL1094872,chembl,52.1743125916,87.4588623047
115,CHEMBL1094872,CHEMBL1094872,chembl,52.1742095947,87.4590759277
116,CHEMBL1094908,CHEMBL1094908,chembl,-54.3083190918,-5.15557098389
117,CHEMBL1095256,CHEMBL1095256,chembl,-17.5018539429,9.64017009735
118,CHEMBL109526,CHEMBL109526,chembl,19.177564621,-42.2157745361
119,CHEMBL1096155,CHEMBL1096155,chembl,50.6421966553,85.6124801636
120,CHEMBL1096155,CHEMBL1096155,chembl,50.6421966553,85.6124801636
121,CHEMBL1096156,CHEMBL1096156,chembl,48.2000350952,86.448097229
122,CHEMBL1096156,CHEMBL1096156,chembl,48.20054245,86.4481048584
123,CHEMBL1096476,CHEMBL1096476,chembl,53.1494445801,86.5470581055
124,CHEMBL1096476,CHEMBL1096476,chembl,53.1413879395,86.5622177124
125,CHEMBL1096477,CHEMBL1096477,chembl,52.7618331909,87.9502563477
126,CHEMBL1096477,CHEMBL1096477,chembl,52.7950630188,87.9642791748
