,,extra_tooltip,which,x,y
0,US2014_296528compound5a,US 2014/296528 compound 5a,drugbank,-13.7739953995,-3.88920640945
1,US2014_296528compound5e,US 2014/296528 compound 5e,drugbank,-13.7154970169,-4.03855609894
2,US2014_296528compound5c,US 2014/296528 compound 5c,drugbank,-13.6393442154,-3.92000985146
3,US2014_296528compound5,US 2014/296528 compound 5,drugbank,-14.1373195648,-3.63915491104
4,US2015_374695compound6,US 2015/374695 compound 6,drugbank,11.2658052444,36.301361084
5,US2015_374695compound6a,US 2015/374695 compound 6a,drugbank,-11.9968471527,-4.76038455963
6,US2015_374695compound6e,US 2015/374695 compound 6e,drugbank,-12.271777153,-4.77377557755
7,US2015_374695compound6c,US 2015/374695 compound 6c,drugbank,-11.8696212769,-4.76476335526
8,WO2017_220799compound1,WO 2017/220799 compound 1,drugbank,-19.7731781006,-1.03263342381
9,WO2017_220799compound14,WO 2017/220799 compound 14,drugbank,-19.8354492188,-1.03516507149
10,WO2017_220799compound18,WO 2017/220799 compound 18,drugbank,-19.5814666748,-1.22321391106
11,WO2017_220799compound39,WO 2017/220799 compound 39,drugbank,-19.2633590698,-0.701798319817
12,WO2017_220799compound54,WO 2017/220799 compound 54,drugbank,-19.6865787506,-0.596389532089
13,WO2017_220799compound60,WO 2017/220799 compound 60,drugbank,-20.1523132324,-1.09842729568
14,WO2017_220799compound30,WO 2017/220799 compound 30,drugbank,-19.4418010712,-1.55603039265
15,US2018_125798,US 2018/125798,drugbank,37.3073577881,17.3822917938
16,US2018_125798,US 2018/125798,drugbank,37.2102355957,17.3847446442
17,US2018_125798,US 2018/125798,drugbank,37.7429351807,16.9273719788
18,US2018_125798,US 2018/125798,drugbank,37.598033905,17.732875824
19,US2018_125798,US 2018/125798,drugbank,37.4710655212,17.5209274292
20,US2018_125798,US 2018/125798,drugbank,36.8042526245,17.1561412811
21,US2018_125798,US 2018/125798,drugbank,36.8794174194,17.8191719055
22,WO2013_102249compoundLDT2,WO 2013/102249 compound LDT2,drugbank,8.77960395813,-20.9656887054
23,WO2013_102249compoundLDT6,WO 2013/102249 compound LDT6,drugbank,10.1001014709,-21.6534156799
24,WO2013_102249compoundLDT8,WO 2013/102249 compound LDT8,drugbank,9.43836975098,-19.7407550812
25,WO2013_102249compoundLDT39,WO 2013/102249 compound LDT39,drugbank,10.746213913,-19.6191005707
26,WO2013_102249compoundLDT66,WO 2013/102249 compound LDT66,drugbank,10.0709447861,-21.4816436768
27,WO2013_102249compoundLDT68,WO 2013/102249 compound LDT68,drugbank,10.1301813126,-21.5666408539
28,WO2013_102249compoundLDT69,WO 2013/102249 compound LDT69,drugbank,10.2909288406,-19.9638442993
29,WO2014_180165compoundI-1,WO 2014/180165 compound I-1,drugbank,-0.184487178922,-51.2877388
30,WO2014_180165compoundI-2,WO 2014/180165 compound I-2,drugbank,0.428842157125,-51.2622871399
