,,extra_tooltip,which,x,y
0,US2014_296528compound5a,US 2014/296528 compound 5a,drugbank,16.5197505951,33.2795906067
1,US2014_296528compound5e,US 2014/296528 compound 5e,drugbank,16.2778720856,33.2263832092
2,US2014_296528compound5c,US 2014/296528 compound 5c,drugbank,16.5847301483,33.1277656555
3,US2014_296528compound5,US 2014/296528 compound 5,drugbank,16.6958656311,33.77551651
4,US2015_374695compound6,US 2015/374695 compound 6,drugbank,9.82301807404,4.16246271133
5,US2015_374695compound6a,US 2015/374695 compound 6a,drugbank,9.44684886932,4.9234251976
6,US2015_374695compound6e,US 2015/374695 compound 6e,drugbank,9.68121623993,4.97026777267
7,US2015_374695compound6c,US 2015/374695 compound 6c,drugbank,9.20615196228,5.10241031647
8,WO2017_220799compound1,WO 2017/220799 compound 1,drugbank,8.19511318207,-7.2091255188
9,WO2017_220799compound14,WO 2017/220799 compound 14,drugbank,8.23019886017,-7.29786634445
10,WO2017_220799compound18,WO 2017/220799 compound 18,drugbank,8.34886550903,-6.80884122849
11,WO2017_220799compound39,WO 2017/220799 compound 39,drugbank,7.57194137573,-6.66384649277
12,WO2017_220799compound54,WO 2017/220799 compound 54,drugbank,7.53353500366,-7.37939023972
13,WO2017_220799compound60,WO 2017/220799 compound 60,drugbank,8.54057312012,-7.66882801056
14,WO2017_220799compound30,WO 2017/220799 compound 30,drugbank,8.67028522491,-6.4737944603
15,US2018_125798,US 2018/125798,drugbank,-51.8911628723,4.10865831375
16,US2018_125798,US 2018/125798,drugbank,-51.7907333374,4.23041534424
17,US2018_125798,US 2018/125798,drugbank,-51.9311447144,3.28489661217
18,US2018_125798,US 2018/125798,drugbank,-52.5586280823,4.15535831451
19,US2018_125798,US 2018/125798,drugbank,-52.2176246643,4.0798625946
20,US2018_125798,US 2018/125798,drugbank,-51.7125282288,4.89753007889
21,US2018_125798,US 2018/125798,drugbank,-51.1493453979,4.14358043671
22,WO2013_102249compoundLDT2,WO 2013/102249 compound LDT2,drugbank,-18.805770874,19.2361831665
23,WO2013_102249compoundLDT6,WO 2013/102249 compound LDT6,drugbank,-15.9445667267,19.6676464081
24,WO2013_102249compoundLDT8,WO 2013/102249 compound LDT8,drugbank,-18.1143131256,20.3558769226
25,WO2013_102249compoundLDT39,WO 2013/102249 compound LDT39,drugbank,-16.9378032684,21.3709793091
26,WO2013_102249compoundLDT66,WO 2013/102249 compound LDT66,drugbank,-16.3683815002,19.2877597809
27,WO2013_102249compoundLDT68,WO 2013/102249 compound LDT68,drugbank,-16.2407588959,19.3352165222
28,WO2013_102249compoundLDT69,WO 2013/102249 compound LDT69,drugbank,-17.1572303772,20.7893772125
29,WO2014_180165compoundI-1,WO 2014/180165 compound I-1,drugbank,24.1795597076,65.0291442871
30,WO2014_180165compoundI-2,WO 2014/180165 compound I-2,drugbank,24.9740066528,64.9533309937
31,WO2014_180165compoundI-6,WO 2014/180165 compound I-6,drugbank,24.9253005981,64.7417373657
32,WO2014_180165compoundII-4,WO 2014/180165 compound II-4,drugbank,25.60297966,63.1160888672
33,WO2014_180165compoundII-24,WO 2014/180165 compound II-24,drugbank,25.5985355377,63.0527000427
34,WO2014_180165compoundIII-2,WO 2014/180165 compound III-2,drugbank,23.7777690887,64.2229232788
35,WO2014_180165compoundIV-5,WO 2014/180165 compound IV-5,drugbank,24.7432765961,64.0010452271
36,US2016_244429compound1,US 2016/244429 compound 1,drugbank,-12.6267490387,-23.6406421661
37,US2016_244429compound31,US 2016/244429 compound 31,drugbank,-19.5635585785,-27.2931900024
38,US2016_244429compound33,US 2016/244429 compound 33,drugbank,-19.9073390961,-27.0688934326
39,US2016_244429compound10,US 2016/244429 compound 10,drugbank,-18.1465339661,-27.5635242462
40,US2016_244429compound34,US 2016/244429 compound 34,drugbank,-19.9032268524,-27.0452098846
41,US2016_244429compound14,US 2016/244429 compound 14,drugbank,-19.1167926788,-27.1590957642
42,US2016_244429compound64,US 2016/244429 compound 64,drugbank,-20.4316310883,-26.5671825409
43,US2016_244429compound58,US 2016/244429 compound 58,drugbank,-20.450958252,-28.1063842773
44,WO2016_003296compound13,WO 2016/003296 compound 13,drugbank,21.8132972717,60.5161628723
45,WO2016_003296compound23,WO 2016/003296 compound 23,drugbank,22.4795322418,61.3114013672
46,WO2016_003296compound24,WO 2016/003296 compound 24,drugbank,22.9954166412,60.9567756653
47,WO2016_003296compound66,WO 2016/003296 compound 66,drugbank,22.4820137024,61.3039703369
48,WO2016_003296compound34,WO 2016/003296 compound 34,drugbank,22.378911972,59.1703453064
49,WO2016_003296compound30,WO 2016/003296 compound 30,drugbank,22.6733036041,58.839630127
50,WO2016_003296compound41,WO 2016/003296 compound 41,drugbank,22.6640033722,58.8811683655
51,CHEMBL10048,CHEMBL10048,chembl,75.0575942993,-11.0721378326
52,CHEMBL10085,CHEMBL10085,chembl,2.06664872169,5.86402988434
53,CHEMBL10085,CHEMBL10085,chembl,2.06476378441,5.86438179016
54,CHEMBL101483,CHEMBL101483,chembl,35.7668151855,-2.46769118309
55,CHEMBL101535,CHEMBL101535,chembl,34.4458312988,-0.0437886975706
56,CHEMBL101690,CHEMBL101690,chembl,29.6620235443,22.304851532
57,CHEMBL101690,CHEMBL101690,chembl,29.6604156494,22.3052082062
58,CHEMBL102175,CHEMBL102175,chembl,35.2301521301,-1.34372889996
59,CHEMBL10270,CHEMBL10270,chembl,67.541015625,-25.8453006744
60,CHEMBL103424,CHEMBL103424,chembl,28.1191272736,21.9477424622
61,CHEMBL103479,CHEMBL103479,chembl,29.7660598755,17.9793834686
62,CHEMBL103503,CHEMBL103503,chembl,28.9778137207,20.1955375671
63,CHEMBL103983,CHEMBL103983,chembl,35.633266449,-3.94160914421
64,CHEMBL104026,CHEMBL104026,chembl,28.6072349548,20.5453281403
65,CHEMBL10408,CHEMBL10408,chembl,67.8486709595,-25.5295734406
66,CHEMBL104144,CHEMBL104144,chembl,-17.8250598907,-14.8088064194
67,CHEMBL104144,CHEMBL104144,chembl,-17.8247261047,-14.8083152771
68,CHEMBL104144,CHEMBL104144,chembl,-17.8246498108,-14.8089075089
69,CHEMBL104229,CHEMBL104229,chembl,-16.602891922,-11.2720060349
70,CHEMBL104229,CHEMBL104229,chembl,-16.6029071808,-11.2721567154
71,CHEMBL104229,CHEMBL104229,chembl,-16.6026420593,-11.2724294662
72,CHEMBL104384,CHEMBL104384,chembl,30.8075523376,17.9812641144
73,CHEMBL104484,CHEMBL104484,chembl,28.8174171448,17.9223918915
74,CHEMBL104496,CHEMBL104496,chembl,31.1439571381,17.1023826599
75,CHEMBL104692,CHEMBL104692,chembl,29.9096488953,18.4802188873
76,CHEMBL105204,CHEMBL105204,chembl,-18.2708339691,-14.7617492676
77,CHEMBL10561,CHEMBL10561,chembl,66.5252761841,-28.0285644531
78,CHEMBL105722,CHEMBL105722,chembl,29.7395172119,16.3734760284
79,CHEMBL105743,CHEMBL105743,chembl,29.8937931061,17.7762546539
80,CHEMBL105958,CHEMBL105958,chembl,29.2781391144,16.9581222534
81,CHEMBL10603,CHEMBL10603,chembl,-31.9065647125,69.4998474121
82,CHEMBL106283,CHEMBL106283,chembl,34.3249206543,-0.850172758102
83,CHEMBL10677,CHEMBL10677,chembl,74.9788742065,-9.47329235077
84,CHEMBL107511,CHEMBL107511,chembl,-24.8993740082,-48.4921798706
85,CHEMBL107617,CHEMBL107617,chembl,-29.7325992584,-45.3443984985
86,CHEMBL1077168,CHEMBL1077168,chembl,33.3250579834,-17.0577640533
87,CHEMBL1078751,CHEMBL1078751,chembl,34.7568626404,-15.4635009766
88,CHEMBL1078772,CHEMBL1078772,chembl,34.3761177063,-15.1402978897
89,CHEMBL1078773,CHEMBL1078773,chembl,34.6090545654,-16.6919059753
90,CHEMBL1078953,CHEMBL1078953,chembl,33.8097648621,-16.357465744
91,CHEMBL1079065,CHEMBL1079065,chembl,32.8866729736,-16.8983898163
92,CHEMBL1079066,CHEMBL1079066,chembl,32.5692329407,-16.0262107849
93,CHEMBL10793,CHEMBL10793,chembl,-30.7986602783,69.5905380249
94,CHEMBL10796,CHEMBL10796,chembl,-31.5697689056,69.6050949097
95,CHEMBL1082862,CHEMBL1082862,chembl,33.1951980591,-15.867316246
96,CHEMBL1082862,CHEMBL1082862,chembl,33.1938934326,-15.8611135483
97,CHEMBL1083181,CHEMBL1083181,chembl,34.0029716492,-15.8839378357
98,CHEMBL1083181,CHEMBL1083181,chembl,34.0029754639,-15.883936882
99,CHEMBL1083182,CHEMBL1083182,chembl,28.6373443604,-22.7475662231
100,CHEMBL1084658,CHEMBL1084658,chembl,33.7010002136,-15.2474155426
101,CHEMBL1086156,CHEMBL1086156,chembl,24.1007194519,-20.3437576294
102,CHEMBL1086626,CHEMBL1086626,chembl,4.49620771408,35.7777175903
103,CHEMBL1086754,CHEMBL1086754,chembl,4.57523441315,35.9627151489
104,CHEMBL1086756,CHEMBL1086756,chembl,4.63511610031,36.0847434998
105,CHEMBL1087942,CHEMBL1087942,chembl,32.5690460205,-16.0259590149
106,CHEMBL1088072,CHEMBL1088072,chembl,33.29737854,-14.752869606
107,CHEMBL1091933,CHEMBL1091933,chembl,26.1877231598,-32.2013664246
108,CHEMBL1094556,CHEMBL1094556,chembl,-57.0179443359,64.1795730591
109,CHEMBL1094556,CHEMBL1094556,chembl,-57.0171775818,64.1751480103
110,CHEMBL1094557,CHEMBL1094557,chembl,-57.7025489807,64.9663467407
111,CHEMBL1094557,CHEMBL1094557,chembl,-57.6987953186,64.9620819092
112,CHEMBL1094558,CHEMBL1094558,chembl,-55.3358688354,62.618106842
113,CHEMBL1094558,CHEMBL1094558,chembl,-55.3468589783,62.6085395813
