,,extra_tooltip,which,x,y
0,US2014_296528compound5a,,drugbank,18.0305156708,25.6907501221
1,US2014_296528compound5e,,drugbank,17.9339103699,25.5241832733
2,US2014_296528compound5c,,drugbank,18.0589542389,25.542470932
3,US2014_296528compound5,,drugbank,18.0530548096,26.2544803619
4,US2015_374695compound6,,drugbank,1.41373193264,38.0236740112
5,US2015_374695compound6a,,drugbank,17.6400337219,23.3229465485
6,US2015_374695compound6e,,drugbank,17.6533527374,23.6644592285
7,US2015_374695compound6c,,drugbank,17.6382751465,23.1530609131
8,WO2017_220799compound1,,drugbank,-29.8741397858,-15.0270500183
9,WO2017_220799compound14,,drugbank,-29.9612979889,-15.0100831985
10,WO2017_220799compound18,,drugbank,-29.5525627136,-14.8371162415
11,WO2017_220799compound39,,drugbank,-29.2711830139,-15.4670886993
12,WO2017_220799compound54,,drugbank,-29.803276062,-15.6227235794
13,WO2017_220799compound60,,drugbank,-30.3257369995,-14.8413963318
14,WO2017_220799compound30,,drugbank,-29.3150558472,-14.4883165359
15,US2018_125798,,drugbank,-15.7478713989,-30.0756587982
16,US2018_125798,,drugbank,-15.6848611832,-29.9673233032
17,US2018_125798,,drugbank,-15.4998226166,-30.7867145538
18,US2018_125798,,drugbank,-16.3184146881,-30.1996307373
19,US2018_125798,,drugbank,-16.0139408112,-30.1784477234
20,US2018_125798,,drugbank,-15.1980724335,-29.6844100952
21,US2018_125798,,drugbank,-15.9813089371,-29.3662052155
22,WO2013_102249compoundLDT2,,drugbank,20.4285430908,-12.6777238846
23,WO2013_102249compoundLDT6,,drugbank,19.4830474854,-14.1193189621
24,WO2013_102249compoundLDT8,,drugbank,19.3428878784,-11.8927745819
25,WO2013_102249compoundLDT39,,drugbank,18.0351963043,-12.0751962662
26,WO2013_102249compoundLDT66,,drugbank,19.1358451843,-14.3509044647
27,WO2013_102249compoundLDT68,,drugbank,19.175661087,-14.3705186844
28,WO2013_102249compoundLDT69,,drugbank,18.5636882782,-12.3892774582
29,WO2014_180165compoundI-1,,drugbank,67.928604126,4.58154153824
30,WO2014_180165compoundI-2,,drugbank,67.7761154175,3.95831418037
31,WO2014_180165compoundI-6,,drugbank,67.5852279663,3.97436738014
32,WO2014_180165compoundII-4,,drugbank,66.1559829712,3.169444561
33,WO2014_180165compoundII-24,,drugbank,66.1553497314,3.16949701309
34,WO2014_180165compoundIII-2,,drugbank,67.1587219238,4.95952892303
35,WO2014_180165compoundIV-5,,drugbank,66.9474639893,4.04371166229
36,US2016_244429compound1,,drugbank,-28.8537769318,16.5172386169
37,US2016_244429compound31,,drugbank,-17.0136680603,-6.53503370285
38,US2016_244429compound33,,drugbank,-16.7324333191,-6.72138595581
39,US2016_244429compound10,,drugbank,-18.2555847168,-6.24132490158
40,US2016_244429compound34,,drugbank,-16.7407855988,-6.73487663269
41,US2016_244429compound14,,drugbank,-17.4143428802,-6.6487364769
42,US2016_244429compound64,,drugbank,-16.2807636261,-7.18973255157
43,US2016_244429compound58,,drugbank,-16.2018527985,-5.73795509338
44,WO2016_003296compound13,,drugbank,63.9106254578,5.93589019775
45,WO2016_003296compound23,,drugbank,64.8707199097,5.85510253906
46,WO2016_003296compound24,,drugbank,65.3404006958,5.89352893829
47,WO2016_003296compound66,,drugbank,64.870552063,5.85500144958
48,WO2016_003296compound34,,drugbank,32.0347900391,15.0352964401
49,WO2016_003296compound30,,drugbank,32.0892601013,15.1687030792
50,WO2016_003296compound41,,drugbank,32.0763282776,15.140917778
51,CHEMBL10048,,chembl,-43.5002670288,55.8084373474
52,CHEMBL10085,,chembl,13.2899808884,19.4478473663
53,CHEMBL10085,,chembl,13.2900190353,19.4470252991
54,CHEMBL101483,,chembl,-51.6728973389,-31.5589485168
55,CHEMBL101535,,chembl,-50.2461547852,-33.6307678223
56,CHEMBL101690,,chembl,12.9642000198,40.4098854065
57,CHEMBL101690,,chembl,12.9643411636,40.4074325562
58,CHEMBL102175,,chembl,-51.0068359375,-32.5217056274
59,CHEMBL10270,,chembl,-46.1986160278,44.4697685242
60,CHEMBL103424,,chembl,11.8145189285,41.4464797974
61,CHEMBL103479,,chembl,10.2969894409,37.4803276062
62,CHEMBL103503,,chembl,11.0578536987,39.7568778992
63,CHEMBL103983,,chembl,-51.629486084,-30.1675853729
64,CHEMBL104026,,chembl,11.0094919205,40.2671661377
65,CHEMBL10408,,chembl,-46.3264427185,44.7552261353
66,CHEMBL104144,,chembl,-32.1313438416,-29.0313415527
67,CHEMBL104144,,chembl,-32.1312789917,-29.0312957764
68,CHEMBL104144,,chembl,-32.1312522888,-29.0312538147
69,CHEMBL104229,,chembl,-32.9397888184,-32.4929504395
70,CHEMBL104229,,chembl,-32.939781189,-32.4929237366
71,CHEMBL104229,,chembl,-32.9408226013,-32.4926300049
72,CHEMBL104384,,chembl,10.2756118774,38.0054664612
73,CHEMBL104484,,chembl,10.2443590164,36.174949646
74,CHEMBL104496,,chembl,11.1919584274,36.5597038269
75,CHEMBL104692,,chembl,10.8823204041,37.3650398254
76,CHEMBL105204,,chembl,-31.8098754883,-28.9783725739
77,CHEMBL10561,,chembl,-46.5057182312,42.0473518372
78,CHEMBL105722,,chembl,9.02052021027,37.4900779724
79,CHEMBL105743,,chembl,10.2626314163,37.2235183716
80,CHEMBL105958,,chembl,9.48447704315,37.7601394653
81,CHEMBL10603,,chembl,-7.2676653862,-54.712020874
82,CHEMBL106283,,chembl,-50.1904602051,-32.9626693726
83,CHEMBL10677,,chembl,-43.2595252991,57.2919998169
84,CHEMBL107511,,chembl,-15.3889198303,25.1023845673
85,CHEMBL107617,,chembl,-16.2360534668,20.4860057831
86,CHEMBL1077168,,chembl,-40.9510574341,-18.7036647797
87,CHEMBL1078751,,chembl,-40.7688293457,-20.6561203003
88,CHEMBL1078772,,chembl,-40.4089355469,-20.571472168
89,CHEMBL1078773,,chembl,-41.5117416382,-19.8253746033
90,CHEMBL1078953,,chembl,-40.7960662842,-19.5124435425
91,CHEMBL1079065,,chembl,-40.6009597778,-18.5370197296
92,CHEMBL1079066,,chembl,-39.8247871399,-18.8811130524
93,CHEMBL10793,,chembl,-8.10826206207,-54.1526260376
94,CHEMBL10796,,chembl,-7.55943155289,-54.5685691833
95,CHEMBL1082862,,chembl,-40.0929260254,-19.361574173
96,CHEMBL1082862,,chembl,-40.0888404846,-19.3642082214
97,CHEMBL1083181,,chembl,-40.592628479,-19.8664569855
98,CHEMBL1083181,,chembl,-40.592628479,-19.8664569855
99,CHEMBL1083182,,chembl,-40.123664856,-9.86489200592
100,CHEMBL1084658,,chembl,-40.0282402039,-20.0922756195
101,CHEMBL1086156,,chembl,-38.8905296326,-9.14678287506
102,CHEMBL1086626,,chembl,40.7751235962,-19.7728767395
103,CHEMBL1086754,,chembl,40.7999725342,-19.8923282623
104,CHEMBL1086756,,chembl,40.8174438477,-19.9963588715
105,CHEMBL1087942,,chembl,-39.8245544434,-18.8811817169
106,CHEMBL1088072,,chembl,-39.420463562,-20.1144142151
107,CHEMBL1091933,,chembl,-53.7716560364,-9.24886226654
108,CHEMBL1094556,,chembl,77.5921707153,-17.8880558014
109,CHEMBL1094556,,chembl,77.5926742554,-17.8884506226
110,CHEMBL1094557,,chembl,76.8103790283,-18.1245536804
111,CHEMBL1094557,,chembl,76.8104476929,-18.1245937347
112,CHEMBL1094558,,chembl,78.3656921387,-17.1026496887
113,CHEMBL1094558,,chembl,78.3655014038,-17.1025104523
114,CHEMBL1094872,,chembl,78.7644729614,-18.1549968719
115,CHEMBL1094872,,chembl,78.7645950317,-18.1550865173
116,CHEMBL1094908,,chembl,-53.7868995667,-9.26606273651
117,CHEMBL1095256,,chembl,9.15716457367,-12.7464761734
118,CHEMBL109526,,chembl,-16.5346126556,21.9211063385
119,CHEMBL1096155,,chembl,78.91746521,-16.1004657745
120,CHEMBL1096155,,chembl,78.91746521,-16.1004657745
121,CHEMBL1096156,,chembl,81.5621337891,-16.0274448395
122,CHEMBL1096156,,chembl,81.5622558594,-16.0273551941
123,CHEMBL1096476,,chembl,79.1554260254,-19.4056377411
124,CHEMBL1096476,,chembl,79.1556243896,-19.4054298401
125,CHEMBL1096477,,chembl,78.5845031738,-18.5990447998
126,CHEMBL1096477,,chembl,78.5845031738,-18.5990447998
127,CHEMBL1096529,,chembl,78.0720748901,-19.8261890411
128,CHEMBL1096529,,chembl,78.0722503662,-19.8262195587
129,CHEMBL1096540,,chembl,80.8928756714,-16.9746246338
130,CHEMBL1096540,,chembl,80.8916015625,-16.9750823975
131,CHEMBL1096671,,chembl,81.8855209351,-16.5944004059
132,CHEMBL1096671,,chembl,81.8855056763,-16.5944023132
133,CHEMBL1096802,,chembl,79.6051101685,-17.0021324158
134,CHEMBL1096802,,chembl,79.6051254272,-17.0021324158
135,CHEMBL1096903,,chembl,8.85538578033,-14.13585186
136,CHEMBL1097181,,chembl,79.1537399292,-15.7355108261
137,CHEMBL1097181,,chembl,79.1536941528,-15.735124588
138,CHEMBL1097484,,chembl,81.4518890381,-17.6346492767
139,CHEMBL1097484,,chembl,81.4520645142,-17.6346340179
